property_id,comp_address,sale_price,sale_status,sale_date,beds,baths,sqft,year_built,lot_size_sqft,distance_miles,property_type,condition,notes
WS-001,528 Magnolia Ln,222000,closed,2026-06-12,3,2,1490,1971,8400,0.3,single family,cosmetic,Renovated kitchen; same street as subject
WS-001,331 Cedar St,208000,closed,2026-05-02,3,2,1405,1965,7900,0.5,single family,cosmetic,Same school zone
WS-001,145 Oak Ridge Dr,226000,closed,2026-07-18,3,2.5,1520,1969,8800,0.7,single family,turnkey,Full remodel; slightly superior finishes
WS-001,900 Highland Ave,165000,active,,2,1,1100,1958,6200,1.8,single family,moderate,Active listing across a major road; kept only as a data point
WS-002,74 Harborview Ct,488000,closed,2026-06-28,4,3,2560,2014,7000,0.1,single family,turnkey,Same street; nearly identical floor plan
WS-002,15 Bayside Row,502000,closed,2026-07-09,4,3,2680,2016,7400,0.4,single family,turnkey,Slightly larger with a pool
WS-004,2118 Beechwood Ave,116000,closed,2026-04-10,3,1,1150,1926,4400,0.2,single family,cosmetic,Two doors down from the subject
WS-004,2405 Elmwood St,128000,closed,2026-06-01,3,1.5,1240,1930,4800,0.4,single family,cosmetic,Updated bath
WS-004,1907 Beechwood Ave,98000,closed,2026-03-15,2,1,1050,1922,4200,0.3,single family,moderate,Sold as-is
WS-006,8 Sunset Trail,70000,closed,2026-05-20,3,2,1100,1996,0,0.1,mobile,moderate,Same park; land lease
WS-006,45 Pinecrest Way,84000,active,,3,2,1150,2001,5000,0.9,mobile,cosmetic,Active listing on owned land; not a like-for-like comp
WS-007,1502 Willow Bend Dr,329000,closed,2026-07-02,4,2.5,1900,1990,10200,0.2,single family,cosmetic,Same subdivision
WS-007,1120 Ashcroft Ln,308000,closed,2026-05-28,4,2,1780,1986,9400,0.6,single family,cosmetic,Adjacent subdivision
WS-007,980 Foxglove Ct,296000,closed,2026-06-20,3,2,1720,1985,9100,0.8,single family,moderate,One fewer bedroom
