lead_id,comp_address,sale_price,sale_status,sale_date,beds,baths,sqft,year_built,distance_miles,property_type,condition,notes
LH-009,921 Pecan Street,296000,closed,2026-07-14,3,2,1630,1957,0.1,single family,cosmetic,FICTIONAL TEST DATA. Same block.
LH-009,4412 Norhill Avenue,281000,closed,2026-06-05,3,2,1550,1953,0.4,single family,cosmetic,FICTIONAL TEST DATA. Adjacent street.
LH-009,708 Woodland Row,308000,closed,2026-07-28,3,2,1690,1958,0.6,single family,turnkey,FICTIONAL TEST DATA. Renovated comparable.
LH-011,81 Sabal Palm Way,264000,closed,2026-07-06,3,2,1530,1960,0.1,single family,cosmetic,FICTIONAL TEST DATA. Same street.
LH-011,214 Coquina Drive,255000,closed,2026-06-18,3,2,1480,1962,0.5,single family,cosmetic,FICTIONAL TEST DATA. Same subdivision.
LH-011,3390 Marsh Wren Court,274000,closed,2026-07-25,3,2,1590,1959,0.7,single family,cosmetic,FICTIONAL TEST DATA. Slightly larger.
LH-012,4520 Live Oak Circle,167000,closed,2026-06-30,3,1,1230,1966,0.1,single family,moderate,FICTIONAL TEST DATA. Same circle.
LH-012,1188 Alamo Heights Row,160000,closed,2026-05-22,3,1,1180,1963,0.4,single family,moderate,FICTIONAL TEST DATA. Nearby.
LH-012,905 Terrell Place,176000,closed,2026-07-19,3,2,1300,1968,0.8,single family,cosmetic,FICTIONAL TEST DATA. Extra bath.
LH-021,151 Cedar Hollow Lane,188000,closed,2026-07-11,3,2,1360,1954,0.1,single family,cosmetic,FICTIONAL TEST DATA. Same street.
LH-021,2204 Sunnyslope Drive,182000,closed,2026-06-09,3,2,1320,1950,0.5,single family,cosmetic,FICTIONAL TEST DATA. Comparable age.
LH-021,470 Ridgecrest Court,196000,closed,2026-08-01,3,2,1420,1956,0.7,single family,cosmetic,FICTIONAL TEST DATA. Slightly larger.
LH-026,1744 Chestnut Grove Court,201000,closed,2026-06-14,3,2,1580,1970,0.2,single family,updated,FICTIONAL TEST DATA
LH-026,1902 Walnut Grove Court,195000,closed,2026-05-02,3,2,1650,1974,0.4,single family,updated,FICTIONAL TEST DATA
LH-026,2015 Chestnut Ridge Road,199500,closed,2026-07-01,3,2,1600,1971,0.6,single family,updated,FICTIONAL TEST DATA
LH-028,84 Tin Cup Lane,47000,closed,2026-05-20,2,1,800,1950,0.1,single family,updated,FICTIONAL TEST DATA
LH-028,120 Copper Kettle Street,44500,closed,2026-06-08,2,1,760,1946,0.3,single family,updated,FICTIONAL TEST DATA
LH-028,55 Silver Spoon Avenue,46500,closed,2026-07-11,2,1,790,1949,0.5,single family,updated,FICTIONAL TEST DATA
LH-027,3312 Bayside Terrace,895000,closed,2026-06-25,5,4,3550,2003,0.2,single family,updated,FICTIONAL TEST DATA
LH-027,3520 Harbor Pointe Drive,868000,closed,2026-05-18,5,4,3620,2005,0.4,single family,updated,FICTIONAL TEST DATA
LH-027,3105 Bayside Terrace,879000,closed,2026-07-03,5,4,3580,2004,0.3,single family,updated,FICTIONAL TEST DATA
LH-032,4088 Sandpiper Road,264000,closed,2026-06-30,4,3,2180,2015,0.1,single family,updated,FICTIONAL TEST DATA
LH-032,4210 Sandpiper Road,259000,closed,2026-05-27,4,3,2220,2017,0.2,single family,updated,FICTIONAL TEST DATA
LH-032,3950 Curlew Court,266000,closed,2026-07-09,4,3,2205,2016,0.4,single family,updated,FICTIONAL TEST DATA
LH-030,2540 Bellhaven Way,243000,closed,2026-06-11,4,2,1880,1993,0.1,duplex,updated,FICTIONAL TEST DATA
LH-030,2712 Bellhaven Way,238000,closed,2026-05-09,4,2,1920,1995,0.3,duplex,updated,FICTIONAL TEST DATA
LH-030,2455 Loma Vista Drive,241000,closed,2026-07-05,4,2,1900,1994,0.5,duplex,updated,FICTIONAL TEST DATA
